url;title;kitchen;type;tags;products;weights;kcal;proteins;fats;carbs;portions
https://eda.ru/recepty/zakuski/ogurci-v-ostrom-marinade-16230;Огурцы в остром маринаде;Китайская кухня;Закуски;Пошаговые рецепты,Соленья и консервация;Рисовый уксус,Огурцы,Кунжутное масло,Соевый соус,Перец чили;50 мл,2 штуки,50 мл,2 столовые ложки,1 штука;89;1;8,4;2,6;6
https://eda.ru/recepty/zakuski/solenie-limoni-29601;Соленые лимоны;Марокканская кухня;Закуски;Пошаговые рецепты,Соусы и маринады,Соленья и консервация;Лимон,Черный перец горошком,Лавровый лист,Соль,Оливковое масло;1 кг,1 чайная ложка,3 штуки,300 г,150 мл;127;0,8;12,6;2,8;12
https://eda.ru/recepty/zakuski/marinovannaya-hamsa-69770;Маринованная хамса;Еврейская кухня;Закуски;Пошаговые рецепты,Соленья и консервация;Хамса,Чеснок,Красный лук,Рафинированное оливковое масло,Белый винный уксус,Вода,Черный перец горошком,Черный душистый перец,Семена кориандра,Лавровый лист,Укроп,Соль;1,799 кг,80 г,200 г,150 мл,200 мл,200 мл,5 г,5 г,5 г,по вкусу,по вкусу,5 г;320;32,5;18,8;5,9;10
https://eda.ru/recepty/zakuski/marinovannij-chesnok-29600;Маринованный чеснок;Русская кухня;Закуски;Пошаговые рецепты,Соусы и маринады,Соленья и консервация;Чеснок,Соль,Хересный уксус,Сахар,Белый винный уксус;250 г,1 столовая ложка,50 мл,50 г,50 мл;51;1,4;0,1;11,3;12
https://eda.ru/recepty/zagotovki/marinovannye-opyata-94048;Маринованные опята;Русская кухня;Заготовки;Пошаговые рецепты,Соленья и консервация;Опята,Уксус,Соль,Лавровый лист,Сахар,Черный перец горошком,Чеснок,Гвоздика,Душистый перец горошком;1 кг,1 столовая ложка,2 столовые ложки,3 штуки,2 столовые ложки,4 штуки,1 зубчик,4 штуки,4 штуки;36;2,4;1,4;4,6;10
https://eda.ru/recepty/zakuski/marinovannij-redis-29605;Маринованный редис;Русская кухня;Закуски;Пошаговые рецепты,Соусы и маринады,Веганская еда,Соленья и консервация;Редис,Красный винный уксус,Сахар,Белый винный уксус,Вода;1 кг,50 мл,50 г,50 мл,100 мл;40;1,2;0,1;9;10
https://eda.ru/recepty/zakuski/zauerkraut-93980;Зауэркраут;Немецкая кухня;Закуски;Пошаговые рецепты,Соленья и консервация;Белокочанная капуста,Соль,Тмин;1 кг,4 чайные ложки,2 чайные ложки;48;3,2;0,3;8;6
https://eda.ru/recepty/sousy-marinady/marinovannyy-chesnok-so-svekloy-137101;Маринованный чеснок со свеклой;Русская кухня;;Пошаговые рецепты,Соусы и маринады,Соленья и консервация;Чеснок,Вода,Уксус 9%-ный,Соль,Черный перец горошком,Душистый перец горошком,Тмин,Лавровый лист,Свекла;4 головки,500 мл,50 мл,50 г,10 штук,2 штуки,1 чайная ложка,1 штука,50 г;31;1,3;0,2;6;10
https://eda.ru/recepty/zakuski/marinovannyy-arbuz-38167;Маринованный арбуз;Авторская кухня;Закуски;Пошаговые рецепты,Веганская еда,Соленья и консервация;Соль,Арбуз,Стебель сельдерея,Чеснок,Укроп,Уксус,Сахар,Душистый перец горошком,Гвоздика,Черный перец горошком,Лавровый лист;100 г,900 г,5 штук,8 зубчиков,1 пучок,50 мл,50 г,1 чайная ложка,2 штуки,1 чайная ложка,1 штука;108;2,8;0,5;23,7;6
https://eda.ru/recepty/zakuski/redka-dajkon-marinovannaja-v-limonnoj-cedre-16216;Редька дайкон, маринованная в лимонной цедре;Японская кухня;Закуски;Соленья и консервация;Рисовый уксус,Дайкон,Тростниковый сахар,Кунжутные семечки,Лимонная цедра;100 мл,500 г,1 столовая ложка,10 г,1 штука;75;2,1;1,2;13,8;4
https://eda.ru/recepty/zakuski/marinovannij-vinograd-29609;Маринованный виноград;;Закуски;Соусы и маринады,Соленья и консервация;Лимон,Зеленый виноград без косточек,Карри,Вино,Сахар;1 штука,600 г,3 столовые ложки,300 мл,3 столовые ложки;73;0,7;0,4;13,2;12
https://eda.ru/recepty/zakuski/marinovannij-losos-s-morskoj-kapustoj-i-miso-33800;Маринованный лосось с морской капустой и мисо;Авторская кухня;Закуски;Соленья и консервация;Филе лосося,Яблоки «гренни-смит»,Редис,Дайкон,Мисо паста,Лимон,Засахаренный имбирь,Оливковое масло,Сахар,Мизуна,Крупная соль,Лимонная трава,Морская капуста;320 г,1 штука,5 штук,¼ штуки,50 г,1 штука,20 г,50 мл,20 г,по вкусу,100 г,1 стебель,по вкусу;326;18,6;19,3;16,2;4
https://eda.ru/recepty/vypechka-deserty/konservirovannaja-chereshnja-44936;Консервированная черешня;Русская кухня;;Выпечка и десерты,Веганская еда,Соленья и консервация;Сахар,Белое вино,Черешня,Лимонная цедра,Патока,Черный перец горошком,Душистый перец горошком;400 г,1 стакан,2 кг,1 столовая ложка,160 г,2 чайные ложки,8 штук;405;3,1;1,2;95,4;8
https://eda.ru/recepty/zagotovki/pomidory-marinovannye-s-dushistym-percem-93944;Помидоры маринованные с душистым перцем;Русская кухня;Заготовки;Соленья и консервация;Помидоры,Соль,Сахар,Уксусная эссенция,Кислота лимонная,Черный душистый перец горошком,Гвоздика,Лавровый лист,Чеснок,Семена укропа;2 кг,2 столовые ложки,6 столовых ложек,1 чайная ложка,на кончике ножа,по вкусу,по вкусу,по вкусу,по вкусу,по вкусу;785;12;4;180;1
https://eda.ru/recepty/zakuski/marinovannaja-svekla-25191;Маринованная свекла;Русская кухня;Закуски;Соленья и консервация;Свекла,Сахар,Зернистая горчица,Лавровый лист,Яблочный уксус,Укроп,Молотый душистый черный перец,Красный лук,Соль;1 кг,100 г,½ чайной ложки,2 штуки,200 мл,50 г,6 штук,½ головки,по вкусу;;;;;6